Year,Team,Margin,RET TD,PENDIF,PY/A,DPY/A,RY/A,DRY/A,TO,DTO
2015,Houston,-5,3,-10,6,6.2,3.7,4.1,24,26
2015,Indianapolis,-75,5,-24,6,7,3.6,4.3,30,26
2015,Jacksonville,-72,3,-8,6.8,7.1,4.2,3.7,29,24
2015,Kansas City,127,6,-6,6.7,6,4.6,4.1,14,22
2015,LA Chargers,-78,2,-3,6.9,7.4,3.5,4.8,24,22
2015,LA Rams,-50,3,13,5.9,6.8,4.6,4,22,22
2015,Miami,-79,3,12,6.5,7.4,4.3,4,19,22
2015,Minnesota,58,6,-24,6.4,6.6,4.5,4.2,18,22
2015,New England,138,2,-12,7.1,6.3,3.6,3.9,14,21
2015,New Orleans,-69,3,16,7.5,8.4,3.8,4.9,19,21
2015,NY Giants,-23,6,-18,7,7.5,4,4.4,21,21
2015,NY Jets,73,0,6,6.7,6.3,4.2,3.6,24,19
2015,Oakland,-40,2,35,6.4,6.5,3.9,4.1,24,19
2015,Philadelphia,-52,6,-19,6.6,6.8,3.9,4.5,30,19
2015,Pittsburgh,88,3,-20,7.7,6.8,4.5,3.8,27,18
2015,San Francisco,-149,2,2,6.3,7.6,4,4,18,18
2015,Seattle,124,5,24,7.5,6.1,4.5,3.5,18,16
2015,Tampa Bay,-76,3,38,7.2,7.1,4.8,3.4,29,14
2015,Tennessee,-123,2,-19,6.4,7.3,4,3.9,34,13
2015,Washington,-8,5,-3,7.3,7.2,3.7,4.8,22,11
2014,Arizona,0,5,-37,6.5,7.1,3.2,4.4,19,26
2014,Atlanta,-37,3,7,7.2,7.9,4,4.2,22,26
2014,Baltimore,103,3,-3,6.9,6.8,4.4,3.5,21,14
2014,Buffalo,52,3,21,6.2,5.9,3.7,4.1,22,21
2014,Carolina,-33,3,-13,6.4,6.4,4.3,4.4,26,13
2014,Chicago,-124,2,8,6.2,7.8,4.1,4.3,29,26
2014,Cincinnati,5,2,-5,6.6,6.5,4.4,4.3,26,26
2014,Cleveland,-39,3,17,6.9,6.1,3.6,4.5,22,27
2014,Dallas,100,3,-7,8,7.3,4.6,4.2,24,19
2014,Denver,111,3,9,7.4,5.7,4,3.6,19,29
2014,Detroit,34,2,19,6.7,6.3,3.6,3.2,22,26
2014,Green Bay,121,5,-10,7.8,6.5,4.4,4.4,14,24
2014,Houston,64,6,-5,6.9,6.3,3.9,4,22,14
2014,Indianapolis,66,2,9,7.2,6.4,3.9,4.3,30,30
2014,Jacksonville,-163,3,-41,5.4,7.2,4.5,4.1,26,34
2014,Kansas City,72,3,-19,6.5,6,4.6,4.7,18,26
2014,LA Chargers,0,3,-20,7.1,6.5,3.4,4.5,22,29
2014,LA Rams,-31,5,17,6.6,7.2,4.1,4.2,27,29
2014,Miami,14,3,-24,6.3,6.6,4.7,4.3,22,18
2014,Minnesota,-17,6,-13,6.3,6.7,4.4,4.3,19,19
2014,New England,170,5,26,6.8,6.7,3.9,4.1,14,26
2014,New Orleans,-22,0,-26,7.2,7.4,4.5,4.8,30,29
2014,NY Giants,-19,2,-5,7,7.4,3.6,4.9,29,26
2014,NY Jets,-119,0,18,5.9,7,4.5,3.8,24,18
2014,Oakland,-198,2,0,5.2,7.1,3.7,4,29,26
2014,Philadelphia,74,11,-7,7,7.2,4.2,3.7,35,16
2014,Pittsburgh,52,6,11,7.8,7.5,4.1,4.2,22,19
2014,San Francisco,-33,3,-7,6.3,6.4,4.6,4,22,24
2014,Seattle,132,3,54,7.5,5.9,5.2,3.5,18,26
2014,Tampa Bay,-133,3,12,6.2,7.2,3.9,3.9,34,22
2014,Tennessee,-184,2,17,6.7,6.9,4.1,4.3,26,29
2014,Washington,-137,0,-24,7.4,7.7,4.2,4.1,30,30
